src_ip,dst_ip,protocol,duration,packet_count,byte_count,avg_packet_size,packets_per_second,bytes_per_second,is_attack,tcp_packet_count,udp_packet_count,http_packet_count,dns_query_count,unique_dns_queries,syn_flag_ratio,packet_size_std,packet_size_entropy,inter_arrival_time_mean,inter_arrival_time_std,ttl_mean,ttl_std,tcp_flag_P,tcp_flag_A,tcp_flag_R,tcp_flag_S,tcp_flag_F
192.168.50.6,172.217.10.98,6,36.43547320365906,12,880,73.33333333333333,0.32934936601275955,24.1522868409357,0,12,0,0,0,0,0.0,18.856180831641268,2.4533838799019736,0.0005707524039528587,0.0015457541729000752,128.0,0.0,4.0,12.0,4.0,0.0,
192.168.50.6,172.217.7.2,6,36.435471057891846,12,880,73.33333333333333,0.32934938540888786,24.152288263318443,0,12,0,0,0,0,0.0,18.856180831641268,2.4533838799019736,7.490317026774089e-06,2.0685120977989294e-05,128.0,0.0,4.0,12.0,4.0,0.0,
192.168.50.6,172.217.9.238,6,0.04125213623046875,4,240,60.0,96.96467542075088,5817.880525245053,0,4,0,4,0,0,0.0,0.0,1.3862943611198906,0.003974735736846924,0.00676995570662511,128.0,0.0,,4.0,,0.0,2.0
172.217.7.2,192.168.50.6,6,2.000253915786743,4,400,100.0,1.999746116445778,199.9746116445778,0,4,0,0,0,0,0.0,0.0,1.3862943611198906,0.016502022743225098,0.017399521134065715,53.0,0.0,4.0,4.0,,0.0,
172.217.10.98,192.168.50.6,6,0.0005049705505371094,4,400,100.0,7921.254013220019,792125.4013220019,0,4,0,0,0,0,0.0,0.0,1.3862943611198906,0.00023424625396728516,0.00023362134614113346,53.0,0.0,4.0,4.0,,0.0,
172.217.9.238,192.168.50.6,6,2.1457672119140625e-06,2,120,60.0,932067.5555555555,55924053.333333336,0,2,0,2,0,0,0.0,0.0,0.6931471805599453,0.007462024688720703,0.007459878921508789,58.0,0.0,,2.0,,0.0,2.0
0.0.0.0,255.255.255.255,17,1451.1495940685272,69,23598,342.0,0.04754850932118418,16.261590187844988,0,0,69,0,0,0,0.0,0.0,4.234106504597258,2.7887595114500625,2.698241030586307,128.0,0.0,,,,,
192.168.50.6,172.217.10.65,6,34.43524885177612,6,440,73.33333333333333,0.17424006505155626,12.777604770447459,0,6,0,0,0,0,0.0,18.856180831641264,1.7602366993420289,0.31206317742665607,0.6886799437335268,128.0,0.0,2.0,6.0,2.0,0.0,
192.168.50.6,172.217.12.206,6,319.53573989868164,248,27084,109.20967741935483,0.7761260135677962,84.76047157850884,0,248,0,242,0,0,0.056451612903225805,135.9012493826562,5.0414977758012,0.14254828614573326,0.686336954049564,128.0,0.0,30.0,234.0,2.0,14.0,14.0
172.217.12.206,192.168.50.6,6,319.4944598674774,202,32648,161.62376237623764,0.63224883487428,102.18643545037372,0,202,0,200,0,0,0.06930693069306931,239.66923789624178,4.616063184190438,0.008927894110726838,0.014331591089893979,120.3069306930693,1.727715679862886,30.0,202.0,,14.0,14.0
172.217.10.65,192.168.50.6,6,1.9073486328125e-06,2,200,100.0,1048576.0,104857600.0,0,2,0,0,0,0,0.0,0.0,0.6931471805599453,0.00035250186920166016,0.00035059452056884766,53.0,0.0,2.0,2.0,,0.0,
192.168.50.9,35.158.163.158,6,0.10758399963378906,8,682,85.25,74.36049995567768,6339.232621221523,0,8,0,0,0,0,0.0,19.967160539245434,2.0521461843907733,0.039412617683410645,0.10423102080088614,64.0,0.0,4.0,8.0,,0.0,2.0
192.168.50.9,54.192.55.39,6,0.03950190544128418,8,682,85.25,202.52187611281786,17264.98993861772,0,8,0,0,0,0,0.0,19.967160539245434,2.0521461843907733,2.5331974029541016e-05,4.1095706031227553e-05,64.0,0.0,4.0,8.0,,0.0,2.0
192.168.50.9,93.184.216.180,6,0.028607845306396484,12,882,73.5,419.46535544628716,30830.703625302107,0,12,0,0,0,0,0.0,17.64227876437735,2.457593549725644,2.859036127726237e-05,3.9453587625001694e-05,64.0,0.0,4.0,6.0,6.0,0.0,2.0
93.184.216.180,192.168.50.9,6,0.00043511390686035156,6,444,74.0,13789.492602739727,1020422.4526027397,0,6,0,0,0,0,0.0,11.313708498984761,1.7804313359582968,0.004696329434712728,0.010348183282136991,55.0,0.0,2.0,6.0,,0.0,2.0
54.192.55.39,192.168.50.9,6,0.00030422210693359375,4,264,66.0,13148.288401253918,867787.0344827586,0,4,0,0,0,0,0.0,0.0,1.3862943611198906,0.0026830434799194336,0.004473193129738298,245.0,0.0,,4.0,,0.0,2.0
